id,month_series,month,study,table,cohort,sex,measure,treatment,z,SE,SD,SD_lower,SD_upper,absolute,unit,abs_SD,abs_SD_lower,abs_SD_upper,abs_SE,months_treated_gnrha,age,age_0,n,baseline,baseline_SE,baseline_SD,abs_per,abs_per_SE,start_z,start_SD,z_vs_start,z_vs_baseline,z_vs_reference
48,36,36,Schagen,4,M_early,M,spine_aBMD,Estrogen,-0.82,0.39,1.5104635050208928,-1.21,-0.42999999999999994,0.95,g/cm^2,0.15491933384829668,0.7950806661517033,1.1049193338482965,0.04,21.6,19.2,16.2,15,-0.67,0.26,1.0069756700139285,1.2337662337662336,0.051948051948051945,-1.37,1.161895003862225,0.13688458086417776,0.3758394296258565,0.055955486392575755
49,36,36,Schagen,4,M_early,M,hip_aBMD,Estrogen,-0.09,0.28,1.0844353369380768,-0.37,0.19000000000000003,1.02,g/m^2,0.15491933384829668,0.8650806661517033,1.1749193338482966,0.04,21.6,19.2,16.2,15,-0.49,0.24,0.92951600308978,1.1724137931034484,0.04597701149425287,-0.99,0.890786169627706,0.00975327120349001,0.8562294088583389,0.7583100626608915
50,36,36,Schagen,4,M_early,M,body_BMD,Estrogen,-1.22,0.28,1.0844353369380768,-1.5,-0.94,1.06,g/m^2,0.232379000772445,0.827620999227555,1.2923790007724452,0.06,21.6,19.2,16.2,15,-0.56,0.24,0.92951600308978,1.1397849462365592,0.06451612903225806,-1.67,0.890786169627706,0.1124835662635928,0.04229074526150951,6.561221929827375e-4
51,36,36,Schagen,4,M_early,M,spine_BMAD,Estrogen,-0.49,0.4,1.5491933384829668,-0.89,-0.08999999999999997,0.24,g/cm^3,0.3485685011586675,-0.10856850115866751,0.5885685011586674,0.09,21.6,19.2,16.2,15,-0.33,0.33,1.2780845042484477,1.2,0.44999999999999996,-1.39,1.39427400463467,0.05285242765624143,0.38001521127787696,0.24558970731754753
52,36,36,Schagen,4,M_early,M,hip_BMAD,Estrogen,-0.35,0.37,1.4330038380967443,-0.72,0.020000000000000018,0.31,g/cm^3,0.07745966692414834,0.23254033307585165,0.38745966692414835,0.02,21.6,19.2,16.2,15,-0.94,0.27,1.0457055034760028,1.107142857142857,0.07142857142857142,-0.88,0.890786169627706,0.11794983832263584,0.8953870080028823,0.36631799710070556
53,36,36,Schagen,4,M_late,M,spine_aBMD,Estrogen,-1.05,0.25,1.2747548783981961,-1.3,-0.8,0.95,g/cm^2,0.18,0.77,1.13,0.03,21.6,19.2,16.2,26,-0.33,0.17,1.02,1.144578313253012,0.03614457831325301,-0.99,0.9688137075826291,0.5753535670529417,0.014592616715461698,3.437785458791712e-4
54,36,36,Schagen,4,M_late,M,hip_aBMD,Estrogen,-0.7,0.18,0.9178235124467011,-0.8799999999999999,-0.52,0.96,g/cm^2,0.12,0.84,1.08,0.02,21.6,19.2,16.2,26,-0.43,0.16,0.96,1.0909090909090908,0.022727272727272728,-0.86,0.7138627319029899,0.24317461470725665,0.1524654105547608,9.065270905321769e-4
55,36,36,Schagen,4,M_late,M,body_BMD,Estrogen,-1.48,0.18,0.9178235124467011,-1.66,-1.3,0.98,g/cm^2,0.2039607805437114,0.7760392194562886,1.1839607805437113,0.04,21.6,19.2,16.2,26,-0.51,0.16,0.96,1.0208333333333333,0.04166666666666667,-1.42,0.7138627319029899,0.6031966679474057,2.4974052930795205e-4,8.327306418409954e-9
56,36,36,Schagen,4,M_late,M,spine_BMAD,Estrogen,-0.5,0.25,1.2747548783981961,-0.75,-0.25,0.24,g/cm^3,0.30594117081556704,-0.06594117081556705,0.545941170815567,0.06,21.6,19.2,16.2,26,-0.65,0.2,1.2000000000000002,1.1428571428571428,0.2857142857142857,-1.29,1.1727744881263404,0.012084696120039595,0.6679570829303493,0.06283141465130868
35a,36,36,Schagen,4,M_late,M,hip_BMAD,Estrogen,-1.21,0.24,1.2237646832622682,-1.45,-0.97,0.27,g/cm^3,0.05099019513592785,0.21900980486407218,0.32099019513592786,0.01,21.6,19.2,16.2,26,-1.01,0.17,1.02,1,0.037037037037037035,-1.36,1.019803902718557,0.316645436618031,0.2625513473951213,3.737440249357396e-5
