id,month,study,table,cohort,sex,measure,treatment,z,SD,SD_lower,SD_upper,SE,absolute,unit,abs_SD,abs_SD_lower,abs_SD_upper,abs_SE,months_treated,age,age_0,n,baseline
1,0,Joseph,1,M,M,spine_tBMD,GnRHa,0.13,0.972,-0.842,1.1019999999999999,0.1745763535700252,0.867,kg/m^2,0.141,0.726,1.008,0.02532434758577526,31,13.2,13.2,31,0.13
1,14,Joseph,1,M,M,spine_tBMD,GnRHa,-0.65,1.182,-1.8319999999999999,0.5319999999999999,0.21229346699564794,0.866,kg/m^2,0.126,0.74,0.992,0.022630268055373638,31,14.4,13.2,31,0.13
1,31,Joseph,1,M,M,spine_tBMD,GnRHa,-0.89,1.075,-1.9649999999999999,0.18499999999999994,0.33994484846810075,0.878,kg/m^2,0.13,0.748,1.008,0.04110960958218893,31,15.8,13.2,10,0.13
33,0,Joseph,1,F,F,spine_tBMD,GnRHa,-0.715,1.406,-2.121,0.691,0.2251401842499525,0.695,kg/m^2,0.22,0.475,0.9149999999999999,0.03522819383711917,33,12.6,12.6,39,-0.715
33,14,Joseph,1,F,F,spine_tBMD,GnRHa,-1.61,1.462,-3.072,-0.14800000000000013,0.23410736086303738,0.711,kg/m^2,0.205,0.506,0.9159999999999999,0.03282627153004286,33,13.8,12.6,39,-0.715
33,33,Joseph,1,F,F,spine_tBMD,GnRHa,-2,1.384,-3.384,-0.6160000000000001,0.30201356008661345,0.731,kg/m^2,0.209,0.522,0.94,0.04560753905932241,33,15.4,12.6,21,-0.715
2,0,Schagen,2,M_early,M,spine_aBMD,GnRHa,-0.67,1.0069756700139285,-0.93,-0.41000000000000003,0.26,0.73,g/cm^2,0.1161895003862225,0.6138104996137774,0.8461895003862225,0.03,24,14.1,14.1,15,-0.67
2,24,Schagen,2,M_early,M,spine_aBMD,GnRHa,-1.26,0.92951600308978,-1.5,-1.02,0.24,0.8,g/cm^2,0.1161895003862225,0.6838104996137775,0.9161895003862226,0.03,24,16.1,14.1,15,-0.67
4,0,Schagen,2,M_early,M,hip_aBMD,GnRHa,-0.49,0.92951600308978,-0.73,-0.25,0.24,0.79,g/m^2,0.1161895003862225,0.6738104996137775,0.9061895003862226,0.03,24,14.1,14.1,15,-0.49
4,24,Schagen,2,M_early,M,hip_aBMD,GnRHa,-0.93,0.8133265027035576,-1.1400000000000001,-0.7200000000000001,0.21,0.83,g/m^2,0.1161895003862225,0.7138104996137775,0.9461895003862224,0.03,24,16.1,14.1,15,-0.49
5,0,Schagen,2,M_early,M,body_BMD,GnRHa,-0.56,0.92951600308978,-0.8,-0.32000000000000006,0.24,0.88,g/m^2,0.07745966692414834,0.8025403330758517,0.9574596669241483,0.02,24,14.1,14.1,15,-0.56
5,24,Schagen,2,M_early,M,body_BMD,GnRHa,-1.51,0.7745966692414834,-1.71,-1.31,0.2,0.92,g/m^2,0.07745966692414834,0.8425403330758517,0.9974596669241483,0.02,24,16.1,14.1,15,-0.56
6,0,Schagen,2,M_early,M,spine_BMAD,GnRHa,-0.33,1.2780845042484477,-0.66,0,0.33,0.22,g/cm^3,0.03872983346207417,0.18127016653792583,0.2587298334620742,0.01,24,14.1,14.1,15,-0.33
6,24,Schagen,2,M_early,M,spine_BMAD,GnRHa,-1.19,1.316814337710522,-1.53,-0.8499999999999999,0.34,0.22,g/cm^3,0.03872983346207417,0.18127016653792583,0.2587298334620742,0.01,24,16.1,14.1,15,-0.33
7,0,Schagen,2,M_early,M,hip_BMAD,GnRHa,-0.94,1.0457055034760028,-1.21,-0.6699999999999999,0.27,0.3,g/cm^3,0.03872983346207417,0.26127016653792584,0.33872983346207414,0.01,24,14.1,14.1,15,-0.94
7,24,Schagen,2,M_early,M,hip_BMAD,GnRHa,-1.23,1.355544171172596,-1.58,-0.88,0.35,0.28,g/cm^3,0.03872983346207417,0.24127016653792585,0.3187298334620742,0.01,24,16.1,14.1,15,-0.94
57,0,Schagen,2,F_early,F,spine_aBMD,GnRHa,-0.28,2.0204949888579287,-0.55,-0.010000000000000009,0.27,0.75,g/m^2,0.1161895003862225,0.6338104996137774,0.8661895003862226,0.03,24,14.5,14.5,56,-0.28
57,24,Schagen,2,F_early,F,spine_aBMD,GnRHa,-1.04,1.9456618411224496,-1.3,-0.78,0.26,0.8,g/m^2,0.1161895003862225,0.6838104996137775,0.9161895003862226,0.03,24,16.5,14.5,56,-0.28
58,0,Schagen,2,F_early,F,hip_aBMD,GnRHa,0.09,1.9456618411224496,-0.17,0.35,0.26,0.79,g/m^2,0.22449944320643647,0.5655005567935636,1.0144994432064365,0.03,24,14.5,14.5,56,0.09
